,regression,classification
0,-0.00025491263277430646,0
1,0.002552330707048922,1
2,0.0009636920020116323,1
3,0.00040537994238020245,1
4,-0.0016185323099751976,0
5,0.0027333799450746593,1
6,0.0025507777275586186,1
7,-0.006942497676903169,0
8,-0.0020233384478941037,0
9,0.0013687850333462947,1
10,0.0017405408189904803,1
11,0.005445250578912423,1
12,0.0031145648863582917,1
13,-0.001284171878752936,0
14,0.0074073112903399576,1
15,-0.04094268597226927,0
16,0.008227269648095586,1
17,0.011385836127599192,1
18,0.032065209167245645,1
19,-0.009922210950125552,0
20,-0.01352110261229768,0
21,0.0239185754637081,1
22,-0.01189617828002016,0
23,-0.008785912491680594,0
24,-0.004549961838510805,0
25,0.0013419045922454921,1
26,0.012269727822682718,1
27,0.00553499510176357,1
28,-0.00685947595447154,0
29,-0.0002514395508784263,0
30,0.005272078119222652,1
31,0.009130163751030977,1
32,0.005367683894639127,1
33,-0.01876453826113458,0
34,0.0008382585145905701,1
35,-0.02136988373067895,0
36,0.0047027127295896825,1
37,0.008090155985867846,1
38,0.004572350843948396,1
39,-0.00518315721407394,0
40,-0.006177057271160282,0
41,0.0,0
42,-0.01917098129511177,0
43,0.008579879745229118,1
44,-0.007298326746899509,0
45,0.0,0
46,-0.00046159697067420973,0
47,0.039763948940797954,1
48,0.0,0
49,-0.0050242755943317435,0
50,0.00602710714611725,1
51,-0.021675251334960927,0
52,-0.0012837472772451294,0
53,0.003981195284172427,1
54,0.001980506273043387,1
55,0.000827514091456446,1
56,0.010811649028433751,1
57,0.03002387253115216,1
58,-0.004062268512194568,0
59,0.013146799407229029,1
60,-0.03922723303321838,0
61,-0.0008470445851291882,0
62,-0.002205928546276976,0
63,0.020227773592284767,1
64,0.0007605674227737385,1
65,0.024855477018483767,1
66,0.005476094204510039,1
67,0.0011943705526570824,1
68,0.0,0
69,-0.008689912734669389,0
70,-0.010485287252566769,0
71,6.412156214587188e-05,1
72,-0.04450387047153886,0
73,-0.010151499651369748,0
74,-0.007641731585300639,0
75,0.025761370229649458,1
76,0.002468712887114514,1
77,0.001117300491490064,1
78,-0.01760815766352231,0
79,-0.0023955339608539516,0
80,-0.0012319079766318903,0
81,0.005947263174821794,1
82,0.012535574588341664,1
83,-0.0005148446676649059,0
84,-0.0014224094774073941,0
85,0.0007296837183741312,1
86,-0.00037312040344704075,0
87,-0.006049069867004206,0
88,-0.002638877379703568,0
89,0.0012707358071637706,1
90,-0.05415424579817612,0
91,-0.006600991966042652,0
92,-0.014357407600438564,0
93,3.401900475878888e-05,1
94,0.005763209232063708,1
95,0.07311784517544982,1
96,0.004712756697747953,1
97,0.0,0
98,7.778097912234592e-05,1
99,0.002304877389890338,1
100,-0.009406068989271401,0
101,-0.01151913481783361,0
102,0.010873768090079339,1
103,0.004627287783741003,1
104,0.017883894731581994,1
105,0.00030197912427840616,1
106,0.003664183070757384,1
107,0.0056109770460442965,1
108,-0.0036085117203549844,0
109,-0.01489762050034441,0
110,-0.01905296029345171,0
111,-0.004137778511028418,0
112,-0.0071665048445232055,0
113,0.015805210061295177,1
114,0.006535352300344012,1
115,-0.0013942553246081301,0
116,-0.0010795924271270031,0
117,-0.010129536652838705,0
118,-0.003491561028163419,0
119,0.03143894946867195,1
120,0.026014565588005998,1
121,0.013577250510432685,1
122,-0.011979750468407647,0
123,0.007926781296301215,1
124,-0.007877491584864301,0
125,0.0,0
126,-0.00034511912455559583,0
127,0.001703834814537546,1
128,0.002540989510749516,1
129,0.0031677461764641696,1
130,0.02388087675033339,1
131,0.0005501623748832086,1
132,0.0,0
133,-0.028828632438478045,0
134,0.0,0
135,-0.0009323628701505199,0
136,-0.0003590484254019297,0
137,0.0006610387047300782,1
138,0.00912660605605276,1
139,-0.0042308746027047974,0
140,0.020928336516761896,1
141,0.004077992654411721,1
142,0.007446777110573169,1
143,-0.005162235475201253,0
144,-0.014656332184019521,0
145,-0.008765731242751275,0
146,0.0470307071944472,1
147,0.005946669658981456,1
148,-0.008121495741627544,0
149,0.0018279065339778463,1
